name,platform,year_of_release,genre,na_sales,eu_sales,jp_sales,other_sales,critic_score,user_score,rating
wii_sports,wii,2006.0,sports,41.36,28.96,3.77,8.45,76.0,8.0,E
super_mario_bros,nes,1985.0,platform,29.08,3.58,6.81,0.77,,,
mario_kart_wii,wii,2008.0,racing,15.68,12.76,3.79,3.29,82.0,8.3,E
wii_sports_resort,wii,2009.0,sports,15.61,10.93,3.28,2.95,80.0,8.0,E
pokemon_red_pokemon_blue,gb,1996.0,role_playing,11.27,8.89,10.22,1.0,,,
tetris,gb,1989.0,puzzle,23.2,2.26,4.22,0.58,,,
new_super_mario_bros,ds,2006.0,platform,11.28,9.14,6.5,2.88,89.0,8.5,E
wii_play,wii,2006.0,misc,13.96,9.18,2.93,2.84,58.0,6.6,E
new_super_mario_bros_wii,wii,2009.0,platform,14.44,6.94,4.7,2.24,87.0,8.4,E
duck_hunt,nes,1984.0,shooter,26.93,0.63,0.28,0.47,,,
nintendogs,ds,2005.0,simulation,9.05,10.95,1.93,2.74,75.0,7.85,T
mario_kart_ds,ds,2005.0,racing,9.71,7.47,4.13,1.9,91.0,8.6,E
pokemon_gold_pokemon_silver,gb,1999.0,role_playing,9.0,6.18,7.2,0.71,81.0,8.4,T
wii_fit,wii,2007.0,sports,8.92,8.03,3.6,2.15,80.0,7.7,E
kinect_adventures,x360,2010.0,misc,15.0,4.89,0.24,1.69,61.0,6.3,E
wii_fit_plus,wii,2009.0,sports,9.01,8.49,2.53,1.77,80.0,7.4,E
grand_theft_auto_v,ps3,2013.0,action,7.02,9.09,0.98,3.96,97.0,8.2,M
grand_theft_auto_san_andreas,ps2,2004.0,action,9.43,0.4,0.41,10.57,95.0,9.0,M
super_mario_world,snes,1990.0,platform,12.78,3.75,3.54,0.55,,,
brain_age_train_your_brain_in_minutes_a_day,ds,2005.0,misc,4.74,9.2,4.16,2.04,77.0,7.9,E
pokemon_diamond_pokemon_pearl,ds,2006.0,role_playing,6.38,4.46,6.04,1.36,73.0,7.6,T
super_mario_land,gb,1989.0,platform,10.83,2.71,4.18,0.42,,,
super_mario_bros_3,nes,1988.0,platform,9.54,3.44,3.84,0.46,,,
grand_theft_auto_v,x360,2013.0,action,9.66,5.14,0.06,1.41,97.0,8.1,M
grand_theft_auto_vice_city,ps2,2002.0,action,8.41,5.49,0.47,1.78,95.0,8.7,M
pokemon_ruby_pokemon_sapphire,gba,2002.0,role_playing,6.06,3.9,5.38,0.5,76.0,8.3,T
brain_age_2_more_training_in_minutes_a_day,ds,2005.0,puzzle,3.43,5.35,5.32,1.18,77.0,7.1,E
pokemon_black_pokemon_white,ds,2010.0,role_playing,5.51,3.17,5.65,0.8,72.0,7.4,T
gran_turismo_3_a_spec,ps2,2001.0,racing,6.85,5.09,1.87,1.16,95.0,8.4,E
call_of_duty_modern_warfare_3,x360,2011.0,shooter,9.04,4.24,0.13,1.32,88.0,3.4,M
pokémon_yellow_special_pikachu_edition,gb,1998.0,role_playing,5.89,5.04,3.12,0.59,81.0,8.5,T
call_of_duty_black_ops_3,ps4,2015.0,shooter,6.03,5.86,0.36,2.38,76.0,5.75,M
call_of_duty_black_ops,x360,2010.0,shooter,9.7,3.68,0.11,1.13,87.0,6.3,M
pokemon_x_pokemon_y,3ds,2013.0,role_playing,5.28,4.19,4.35,0.78,72.0,7.65,T
call_of_duty_black_ops_ii,ps3,2012.0,shooter,4.99,5.73,0.65,2.42,83.0,5.3,M
call_of_duty_black_ops_ii,x360,2012.0,shooter,8.25,4.24,0.07,1.12,83.0,4.8,M
call_of_duty_modern_warfare_2,x360,2009.0,shooter,8.52,3.59,0.08,1.28,94.0,6.3,M
call_of_duty_modern_warfare_3,ps3,2011.0,shooter,5.54,5.73,0.49,1.57,88.0,3.2,M
grand_theft_auto_iii,ps2,2001.0,action,6.99,4.51,0.3,1.3,97.0,8.5,M
super_smash_bros_brawl,wii,2008.0,fighting,6.62,2.55,2.66,1.01,93.0,8.9,T
mario_kart_7,3ds,2011.0,racing,5.03,4.02,2.69,0.91,85.0,8.2,E
call_of_duty_black_ops,ps3,2010.0,shooter,5.99,4.37,0.48,1.79,88.0,6.4,M
grand_theft_auto_v,ps4,2014.0,action,3.96,6.31,0.38,1.97,97.0,8.3,M
