platform,critic_score,na_sales,eu_sales,jp_sales,other_sales,total_sales
3ds,26.0,10.0,10.0,0.0,0.0,20.0
3ds,34.0,0.0,30.0,0.0,0.0,30.0
3ds,38.0,0.0,10.0,0.0,0.0,10.0
3ds,42.0,90.0,30.0,0.0,10.0,130.0
3ds,43.0,370.0,250.0,20.0,50.0,690.0
3ds,44.0,250.0,60.0,50.0,30.0,390.0
3ds,45.0,30.0,0.0,0.0,0.0,30.0
3ds,46.0,30.0,0.0,720.0,0.0,750.0
3ds,47.0,440.0,400.0,40.0,90.0,970.0
3ds,47.67,110.0,0.0,0.0,10.0,120.0
3ds,48.0,50.0,40.0,0.0,10.0,100.0
3ds,49.0,460.0,170.0,60.0,60.0,750.0
3ds,50.0,80.0,30.0,0.0,10.0,120.0
3ds,51.0,1180.0,2260.0,2000.0,280.0,5720.0
3ds,52.0,530.0,520.0,60.0,110.0,1220.0
3ds,52.5,0.0,0.0,160.0,0.0,160.0
3ds,52.67,50.0,40.0,0.0,10.0,100.0
3ds,53.0,210.0,120.0,100.0,30.0,460.0
3ds,54.0,400.0,90.0,60.0,40.0,590.0
3ds,55.0,320.0,180.0,50.0,50.0,600.0
3ds,56.0,1020.0,420.0,350.0,140.0,1930.0
3ds,57.0,820.0,680.0,840.0,130.0,2470.0
3ds,58.0,690.0,230.0,210.0,80.0,1210.0
3ds,58.5,1840.0,1520.0,760.0,310.0,4430.0
3ds,59.0,870.0,550.0,540.0,130.0,2090.0
3ds,60.0,260.0,240.0,400.0,40.0,940.0
3ds,61.0,1140.0,980.0,400.0,200.0,2720.0
3ds,62.0,550.0,220.0,30.0,70.0,870.0
3ds,63.0,0.0,0.0,80.0,0.0,80.0
3ds,64.0,740.0,670.0,380.0,130.0,1920.0
3ds,65.0,430.0,420.0,230.0,80.0,1160.0
3ds,65.5,2350.0,1410.0,1000.0,350.0,5110.0
3ds,66.0,1540.0,1660.0,1560.0,260.0,5020.0
3ds,66.5,540.0,100.0,0.0,50.0,690.0
3ds,67.0,1390.0,1430.0,840.0,260.0,3920.0
3ds,68.0,790.0,540.0,1050.0,120.0,2500.0
3ds,69.0,1460.0,990.0,970.0,230.0,3650.0
3ds,69.5,0.0,0.0,70.0,0.0,70.0
3ds,69.75,100.0,120.0,0.0,20.0,240.0
3ds,70.0,350.0,350.0,880.0,50.0,1630.0
3ds,70.5,3270.0,1390.0,3050.0,480.0,8190.0
3ds,70.75,310.0,230.0,30.0,50.0,620.0
3ds,70.83,280.0,310.0,50.0,50.0,690.0
3ds,71.0,1650.0,1320.0,830.0,260.0,4060.0
3ds,71.83,100.0,330.0,130.0,50.0,610.0
3ds,72.0,7050.0,5810.0,14420.0,1080.0,28360.0
3ds,72.5,4560.0,3520.0,10310.0,770.0,19160.0
3ds,73.0,1800.0,1190.0,5220.0,270.0,8480.0
3ds,73.33,170.0,100.0,0.0,20.0,290.0
3ds,73.5,210.0,200.0,220.0,40.0,670.0
3ds,74.0,1870.0,1010.0,10140.0,250.0,13270.0
3ds,74.5,1020.0,670.0,2780.0,150.0,4620.0
3ds,75.0,2960.0,1230.0,1520.0,380.0,6090.0
3ds,75.5,0.0,50.0,830.0,0.0,880.0
3ds,76.0,810.0,680.0,2630.0,130.0,4250.0
3ds,77.0,1930.0,1150.0,2470.0,310.0,5860.0
3ds,77.33,0.0,0.0,190.0,0.0,190.0
3ds,77.5,0.0,0.0,110.0,0.0,110.0
3ds,77.6,20.0,0.0,0.0,0.0,20.0
3ds,78.0,4860.0,4150.0,4660.0,810.0,14480.0
3ds,78.5,0.0,0.0,500.0,0.0,500.0
3ds,79.0,670.0,1140.0,890.0,180.0,2880.0
3ds,80.0,1410.0,1160.0,1490.0,230.0,4290.0
3ds,81.0,1180.0,1030.0,1280.0,190.0,3680.0
3ds,81.33,100.0,80.0,100.0,20.0,300.0
3ds,82.0,970.0,890.0,440.0,160.0,2460.0
3ds,83.0,4260.0,1950.0,4260.0,620.0,11090.0
3ds,84.0,460.0,290.0,1960.0,70.0,2780.0
3ds,85.0,5700.0,4540.0,2890.0,1020.0,14150.0
3ds,86.0,2480.0,1870.0,3730.0,400.0,8480.0
3ds,86.4,0.0,220.0,0.0,10.0,230.0
3ds,86.5,0.0,0.0,60.0,0.0,60.0
3ds,87.0,740.0,620.0,410.0,130.0,1900.0
3ds,88.0,2060.0,2360.0,4390.0,390.0,9200.0
3ds,89.0,1150.0,550.0,1330.0,170.0,3200.0
3ds,90.0,4970.0,3040.0,2160.0,790.0,10960.0
3ds,91.0,1400.0,1010.0,460.0,230.0,3100.0
3ds,92.0,1170.0,590.0,660.0,170.0,2590.0
dc,58.5,0.0,0.0,40.0,0.0,40.0
dc,59.0,0.0,0.0,90.0,0.0,90.0
dc,63.0,0.0,0.0,350.0,0.0,350.0
dc,64.5,1120.0,50.0,960.0,20.0,2150.0
dc,65.0,0.0,0.0,40.0,0.0,40.0
dc,65.5,410.0,230.0,470.0,30.0,1140.0
dc,68.0,0.0,0.0,330.0,0.0,330.0
dc,69.0,0.0,0.0,290.0,0.0,290.0
dc,69.75,0.0,0.0,390.0,0.0,390.0
dc,70.5,0.0,0.0,320.0,0.0,320.0
dc,71.5,0.0,0.0,100.0,0.0,100.0
dc,72.0,0.0,0.0,20.0,0.0,20.0
dc,74.5,1100.0,510.0,120.0,80.0,1810.0
dc,78.0,0.0,0.0,580.0,0.0,580.0
dc,80.0,0.0,0.0,410.0,0.0,410.0
dc,81.0,0.0,0.0,170.0,0.0,170.0
dc,82.0,0.0,0.0,590.0,0.0,590.0
dc,82.5,1260.0,610.0,460.0,80.0,2410.0
dc,83.0,0.0,0.0,50.0,0.0,50.0
dc,84.0,0.0,0.0,130.0,0.0,130.0
dc,88.0,520.0,240.0,590.0,40.0,1390.0
dc,88.5,0.0,0.0,510.0,0.0,510.0
dc,89.0,0.0,0.0,400.0,0.0,400.0
dc,90.0,0.0,0.0,200.0,0.0,200.0
