name,platform,na_sales,eu_sales,jp_sales,other_sales,name_total_count
007_quantum_of_solace,ps3,430.0,510.0,20.0,190.0,3
007_quantum_of_solace,wii,290.0,280.0,10.0,70.0,3
007_quantum_of_solace,x360,820.0,510.0,10.0,140.0,3
2010_fifa_world_cup_south_africa,ps3,300.0,640.0,70.0,220.0,4
2010_fifa_world_cup_south_africa,psp,90.0,220.0,30.0,120.0,4
2010_fifa_world_cup_south_africa,wii,230.0,150.0,10.0,40.0,4
2010_fifa_world_cup_south_africa,x360,320.0,420.0,20.0,90.0,4
ace_combat_assault_horizon,ps3,300.0,150.0,220.0,70.0,2
ace_combat_assault_horizon,x360,300.0,120.0,30.0,40.0,2
akiba_s_trip_undead_undressed,ps3,50.0,10.0,40.0,10.0,2
akiba_s_trip_undead_undressed,psv,40.0,20.0,80.0,10.0,2
alice_madness_returns,ps3,220.0,240.0,40.0,80.0,2
alice_madness_returns,x360,270.0,140.0,40.0,40.0,2
anarchy_reigns,ps3,100.0,30.0,60.0,20.0,2
anarchy_reigns,x360,120.0,20.0,20.0,10.0,2
armored_core_for_answer,ps3,60.0,20.0,100.0,10.0,2
armored_core_for_answer,x360,60.0,10.0,70.0,10.0,2
armored_core_v,ps3,90.0,40.0,240.0,20.0,2
armored_core_v,x360,130.0,30.0,40.0,10.0,2
army_of_two,ps3,740.0,260.0,20.0,150.0,2
army_of_two,x360,1090.0,370.0,20.0,160.0,2
assassin_s_creed,ps3,1910.0,2000.0,90.0,820.0,2
assassin_s_creed,x360,3280.0,1640.0,70.0,560.0,2
assassin_s_creed_brotherhood,ps3,1870.0,550.0,110.0,290.0,2
assassin_s_creed_brotherhood,x360,2850.0,380.0,30.0,240.0,2
assassin_s_creed_chronicles,ps4,10.0,50.0,10.0,10.0,2
assassin_s_creed_chronicles,psv,10.0,40.0,10.0,10.0,2
assassin_s_creed_ii,ps3,2540.0,1930.0,210.0,860.0,2
assassin_s_creed_ii,x360,3110.0,1550.0,80.0,510.0,2
assassin_s_creed_iii,ps3,2640.0,2520.0,160.0,1120.0,2
assassin_s_creed_iii,x360,3130.0,1690.0,30.0,440.0,2
assassin_s_creed_iv_black_flag,ps3,1330.0,1680.0,130.0,570.0,3
