platform,na_sales,eu_sales,jp_sales,other_sales,total_sales
3do,0.0,0.0,20.0,0.0,20.0
3ds,10.0,0.0,50.0,0.0,120.0
dc,0.0,0.0,120.0,0.0,135.0
ds,60.0,0.0,0.0,10.0,110.0
gb,0.0,0.0,375.0,0.0,945.0
gba,100.0,40.0,0.0,0.0,160.0
gc,110.0,30.0,0.0,0.0,150.0
gen,0.0,0.0,40.0,0.0,200.0
n64,180.0,40.0,0.0,0.0,270.0
nes,0.0,0.0,110.0,0.0,110.0
ng,0.0,0.0,100.0,0.0,100.0
pc,0.0,30.0,0.0,10.0,50.0
pcfx,0.0,0.0,30.0,0.0,30.0
ps,80.0,60.0,0.0,20.0,260.0
ps2,90.0,50.0,0.0,20.0,230.0
ps3,120.0,60.0,10.0,30.0,270.0
ps4,60.0,80.0,10.0,30.0,200.0
psp,0.0,0.0,20.0,0.0,90.0
psv,0.0,0.0,30.0,0.0,55.0
sat,0.0,0.0,120.0,0.0,120.0
scd,0.0,0.0,60.0,0.0,60.0
snes,0.0,0.0,270.0,0.0,295.0
tg16,0.0,0.0,80.0,0.0,80.0
wii,130.0,10.0,0.0,10.0,190.0
wiiu,110.0,70.0,0.0,20.0,220.0
ws,0.0,0.0,215.0,0.0,215.0
x360,170.0,50.0,0.0,20.0,280.0
xb,110.0,30.0,0.0,10.0,150.0
xone,120.0,70.0,0.0,20.0,220.0
