platform,year_of_release,games,total_sales
2600,1977.0,5,2860.0
2600,1978.0,2,640.0
2600,1979.0,1,310.0
2600,1980.0,14,16490.0
2600,1981.0,47,36120.0
2600,1982.0,37,29350.0
2600,1983.0,11,5840.0
2600,1984.0,2,480.0
2600,1985.0,1,450.0
2600,1986.0,2,670.0
2600,1987.0,6,1940.0
2600,1988.0,2,740.0
2600,1989.0,2,630.0
2600,2019.0,1,460.0
3do,1994.0,1,20.0
3do,1995.0,2,80.0
3ds,2010.0,3,580.0
3ds,2011.0,119,63760.0
3ds,2012.0,95,51410.0
3ds,2013.0,91,56570.0
3ds,2014.0,80,43760.0
3ds,2015.0,86,27780.0
3ds,2016.0,46,15140.0
dc,1998.0,7,3380.0
dc,1999.0,14,5160.0
dc,2000.0,20,5990.0
dc,2001.0,8,1070.0
dc,2002.0,1,290.0
dc,2007.0,1,20.0
dc,2008.0,1,40.0
ds,1983.0,1,120.0
ds,1985.0,1,20.0
ds,1988.0,1,90.0
ds,2001.0,1,70.0
ds,2004.0,23,17270.0
ds,2005.0,119,130160.0
ds,2006.0,205,120070.0
ds,2007.0,379,147350.0
ds,2008.0,497,146140.0
ds,2009.0,406,119590.0
ds,2010.0,325,85370.0
ds,2011.0,156,26990.0
ds,2012.0,23,11010.0
ds,2013.0,8,1540.0
ds,2014.0,5,320.0
ds,2021.0,1,10.0
gb,1988.0,1,1430.0
gb,1989.0,10,64970.0
gb,1990.0,3,4890.0
gb,1991.0,9,5570.0
gb,1992.0,7,25490.0
gb,1994.0,3,12180.0
gb,1995.0,4,3600.0
gb,1996.0,6,36030.0
gb,1997.0,9,7400.0
gb,1998.0,8,26900.0
gb,1999.0,11,38000.0
gb,2000.0,17,19760.0
gb,2001.0,10,9240.0
gba,1997.0,1,80.0
gba,2000.0,1,70.0
gba,2001.0,109,64300.0
gba,2002.0,198,74160.0
gba,2003.0,150,56670.0
gba,2004.0,178,78960.0
gba,2005.0,139,34900.0
gba,2006.0,39,5280.0
gba,2007.0,6,3400.0
gba,2013.0,1,30.0
gc,1981.0,1,280.0
gc,2000.0,1,70.0
gc,2001.0,23,26450.0
gc,2002.0,154,52220.0
gc,2003.0,149,51330.0
gc,2004.0,84,28830.0
gc,2005.0,98,27910.0
gc,2006.0,41,11550.0
gc,2007.0,4,270.0
gc,2013.0,1,20.0
gen,1990.0,1,2600.0
gen,1991.0,1,4330.0
gen,1992.0,6,12640.0
gen,1993.0,9,3070.0
gen,1994.0,12,8130.0
gg,1992.0,1,40.0
n64,1996.0,18,34100.0
n64,1997.0,50,39700.0
n64,1998.0,77,49240.0
n64,1999.0,103,58200.0
n64,2000.0,61,34110.0
n64,2001.0,9,3250.0
n64,2002.0,1,80.0
nes,1983.0,6,10960.0
nes,1984.0,13,50080.0
nes,1985.0,11,53440.0
nes,1986.0,19,36410.0
nes,1987.0,10,19760.0
nes,1988.0,11,45010.0
nes,1989.0,5,7850.0
nes,1990.0,8,15730.0
nes,1991.0,7,6110.0
nes,1992.0,3,1980.0
nes,1993.0,4,3610.0
nes,1994.0,1,110.0
ng,1993.0,2,210.0
ng,1994.0,4,800.0
ng,1995.0,4,330.0
ng,1996.0,2,100.0
pc,1985.0,1,40.0
pc,1988.0,2,50.0
pc,1992.0,5,3030.0
pc,1994.0,6,12870.0
pc,1995.0,2,4220.0
pc,1996.0,4,10580.0
pc,1997.0,6,11270.0
pc,1998.0,8,3260.0
pc,1999.0,9,4800.0
pc,2000.0,7,4660.0
pc,2001.0,15,5470.0
pc,2002.0,19,8570.0
pc,2003.0,33,8840.0
pc,2004.0,30,10390.0
pc,2005.0,37,4370.0
pc,2006.0,52,2850.0
pc,2007.0,62,9280.0
pc,2008.0,78,12600.0
pc,2009.0,107,16910.0
pc,2010.0,93,26160.0
pc,2011.0,141,35440.0
pc,2012.0,63,23650.0
pc,2013.0,41,13010.0
pc,2014.0,47,13280.0
pc,2015.0,50,8520.0
pc,2016.0,54,5250.0
pc,2022.0,2,150.0
pcfx,1996.0,1,30.0
ps,1994.0,17,6030.0
ps,1995.0,99,35960.0
ps,1996.0,164,94700.0
ps,1997.0,188,136170.0
ps,1998.0,250,170990.0
ps,1999.0,201,145580.0
ps,2000.0,161,96670.0
ps,2001.0,93,35930.0
ps,2002.0,20,6670.0
ps,2003.0,3,2070.0
ps,2023.0,1,90.0
ps2,1990.0,1,210.0
ps2,1999.0,1,120.0
ps2,2000.0,82,39170.0
ps2,2001.0,186,166820.0
ps2,2002.0,293,211120.0
ps2,2003.0,259,194000.0
ps2,2004.0,263,212850.0
ps2,2005.0,264,164030.0
ps2,2006.0,262,103720.0
ps2,2007.0,216,76160.0
ps2,2008.0,192,55020.0
ps2,2009.0,96,26400.0
ps2,2010.0,38,5640.0
ps2,2011.0,7,450.0
ps2,2013.0,1,60.0
ps3,2006.0,28,21440.0
ps3,2007.0,93,73260.0
ps3,2008.0,141,119550.0
ps3,2009.0,163,131060.0
ps3,2010.0,187,144120.0
ps3,2011.0,220,161010.0
ps3,2012.0,149,107430.0
ps3,2013.0,127,113300.0
ps3,2014.0,109,47770.0
ps3,2015.0,74,16920.0
ps3,2016.0,38,3600.0
ps3,2017.0,2,190.0
ps4,2013.0,16,25990.0
ps4,2014.0,75,100000.0
ps4,2015.0,137,118900.0
ps4,2016.0,164,69250.0
psp,1991.0,1,120.0
psp,1995.0,1,800.0
psp,2003.0,1,30.0
psp,2004.0,15,7060.0
psp,2005.0,95,43840.0
psp,2006.0,192,56300.0
psp,2007.0,134,47300.0
psp,2008.0,104,35960.0
psp,2009.0,162,37820.0
psp,2010.0,189,35300.0
psp,2011.0,140,18030.0
psp,2012.0,106,7690.0
psp,2013.0,54,3140.0
psp,2014.0,10,240.0
psp,2015.0,3,120.0
psp,2021.0,1,240.0
psv,2011.0,18,4630.0
psv,2012.0,54,16450.0
psv,2013.0,63,10590.0
psv,2014.0,100,11900.0
psv,2015.0,110,6250.0
psv,2016.0,85,4250.0
sat,1994.0,19,3650.0
sat,1995.0,52,11570.0
sat,1996.0,38,7690.0
sat,1997.0,34,6770.0
sat,1998.0,29,3820.0
sat,1999.0,1,90.0
scd,1993.0,1,1500.0
scd,1994.0,5,360.0
snes,1990.0,4,26150.0
snes,1991.0,24,16220.0
snes,1992.0,21,32980.0
snes,1993.0,46,40020.0
snes,1994.0,53,35080.0
snes,1995.0,54,32200.0
snes,1996.0,30,15920.0
snes,1997.0,4,990.0
snes,1998.0,2,220.0
snes,1999.0,1,260.0
tg16,1995.0,2,160.0
wii,1984.0,1,40.0
wii,1993.0,1,350.0
wii,1998.0,1,20.0
wii,1999.0,1,10.0
wii,2002.0,1,20.0
wii,2004.0,1,20.0
wii,2005.0,2,60.0
wii,2006.0,52,140610.0
wii,2007.0,187,153440.0
wii,2008.0,287,177090.0
wii,2009.0,325,206970.0
wii,2010.0,259,129520.0
wii,2011.0,148,63990.0
wii,2012.0,31,21710.0
wii,2013.0,12,8590.0
wii,2014.0,6,3750.0
wii,2015.0,4,1140.0
wii,2016.0,1,180.0
wiiu,2012.0,32,17560.0
wiiu,2013.0,42,21650.0
wiiu,2014.0,31,22030.0
wiiu,2015.0,28,16350.0
wiiu,2016.0,14,4600.0
ws,1999.0,2,460.0
ws,2000.0,2,680.0
ws,2001.0,2,280.0
x360,1986.0,1,270.0
x360,2001.0,1,30.0
x360,2005.0,20,8840.0
x360,2006.0,95,52310.0
x360,2007.0,124,97880.0
x360,2008.0,149,136230.0
x360,2009.0,175,121660.0
x360,2010.0,190,171880.0
x360,2011.0,210,145420.0
x360,2012.0,108,99870.0
x360,2013.0,76,88630.0
x360,2014.0,63,34740.0
x360,2015.0,35,11960.0
x360,2016.0,13,1520.0
x360,2021.0,1,170.0
xb,1986.0,1,60.0
xb,2000.0,1,990.0
xb,2001.0,35,22970.0
xb,2002.0,163,50200.0
xb,2003.0,192,55200.0
xb,2004.0,181,67760.0
xb,2005.0,183,49430.0
xb,2006.0,63,10090.0
xb,2007.0,3,550.0
xb,2008.0,1,180.0
xb,2022.0,1,310.0
xone,2013.0,19,18960.0
xone,2014.0,61,54070.0
xone,2015.0,80,60140.0
xone,2016.0,87,26150.0
