platform,total_sales,games_sold,lifespan,profit
3do,100.0,3,2.0,16.67
3ds,259000.0,520,7.0,71.15
dc,15950.0,52,11.0,27.88
ds,805880.0,2147,14.0,26.81
gb,153110.0,68,8.0,281.45
gba,317850.0,822,17.0,22.75
gc,198650.0,555,14.0,25.57
gen,8130.0,12,1.0,677.5
n64,218680.0,319,7.0,97.93
nes,110.0,1,1.0,110.0
ng,1230.0,10,3.0,41.0
pc,256250.0,964,23.0,11.56
pcfx,30.0,1,1.0,30.0
ps,730770.0,1196,10.0,61.1
ps2,1255560.0,2160,15.0,38.75
ps3,939650.0,1331,12.0,58.83
ps4,314140.0,392,4.0,200.34
psp,293630.0,1206,21.0,11.59
psv,54070.0,430,6.0,20.96
sat,33590.0,173,6.0,32.36
scd,360.0,5,1.0,72.0
snes,84670.0,144,6.0,98.0
tg16,160.0,2,1.0,80.0
wii,907120.0,1318,19.0,36.22
wiiu,82190.0,147,5.0,111.82
ws,1420.0,6,3.0,78.89
x360,970970.0,1259,16.0,48.2
xb,257370.0,822,9.0,34.79
xone,159320.0,247,4.0,161.26
