platform,year_of_release,na_sales,eu_sales,jp_sales,other_sales,total_sales
2600,1977.0,2680.0,160.0,0.0,20.0,96980.0
2600,1978.0,600.0,40.0,0.0,0.0,100.0
2600,1979.0,290.0,20.0,0.0,0.0,259000.0
2600,1980.0,15360.0,960.0,0.0,170.0,15950.0
2600,1981.0,33810.0,1990.0,0.0,320.0,806120.0
2600,1982.0,27360.0,1680.0,0.0,310.0,255460.0
2600,1983.0,5440.0,340.0,0.0,60.0,317850.0
2600,1984.0,460.0,20.0,0.0,0.0,198930.0
2600,1985.0,420.0,30.0,0.0,0.0,30770.0
2600,1986.0,630.0,40.0,0.0,0.0,40.0
2600,1987.0,1840.0,90.0,0.0,10.0,218680.0
2600,1988.0,690.0,40.0,0.0,10.0,251050.0
2600,1989.0,590.0,30.0,0.0,10.0,1440.0
2600,1990.0,0.0,0.0,0.0,0.0,259520.0
2600,1991.0,0.0,0.0,0.0,0.0,30.0
2600,1992.0,0.0,0.0,0.0,0.0,730860.0
2600,1993.0,0.0,0.0,0.0,0.0,1255770.0
2600,1994.0,0.0,0.0,0.0,0.0,939650.0
2600,1995.0,0.0,0.0,0.0,0.0,314140.0
2600,1996.0,0.0,0.0,0.0,0.0,294050.0
2600,1997.0,0.0,0.0,0.0,0.0,54070.0
2600,1998.0,0.0,0.0,0.0,0.0,33590.0
2600,1999.0,0.0,0.0,0.0,0.0,1860.0
2600,2000.0,0.0,0.0,0.0,0.0,200040.0
2600,2001.0,0.0,0.0,0.0,0.0,160.0
2600,2002.0,0.0,0.0,0.0,0.0,907510.0
2600,2003.0,0.0,0.0,0.0,0.0,82190.0
2600,2004.0,0.0,0.0,0.0,0.0,1420.0
2600,2005.0,0.0,0.0,0.0,0.0,971420.0
2600,2006.0,0.0,0.0,0.0,0.0,257740.0
2600,2007.0,0.0,0.0,0.0,0.0,159320.0
2600,2008.0,0.0,0.0,0.0,0.0,
2600,2009.0,0.0,0.0,0.0,0.0,
2600,2010.0,0.0,0.0,0.0,0.0,
2600,2011.0,0.0,0.0,0.0,0.0,
2600,2012.0,0.0,0.0,0.0,0.0,
2600,2013.0,0.0,0.0,0.0,0.0,
2600,2014.0,0.0,0.0,0.0,0.0,
2600,2015.0,0.0,0.0,0.0,0.0,
2600,2016.0,0.0,0.0,0.0,0.0,
2600,2017.0,0.0,0.0,0.0,0.0,
2600,2019.0,430.0,30.0,0.0,0.0,
2600,2021.0,0.0,0.0,0.0,0.0,
2600,2022.0,0.0,0.0,0.0,0.0,
2600,2023.0,0.0,0.0,0.0,0.0,
3do,1977.0,0.0,0.0,0.0,0.0,
3do,1978.0,0.0,0.0,0.0,0.0,
3do,1979.0,0.0,0.0,0.0,0.0,
3do,1980.0,0.0,0.0,0.0,0.0,
3do,1981.0,0.0,0.0,0.0,0.0,
3do,1982.0,0.0,0.0,0.0,0.0,
3do,1983.0,0.0,0.0,0.0,0.0,
3do,1984.0,0.0,0.0,0.0,0.0,
3do,1985.0,0.0,0.0,0.0,0.0,
3do,1986.0,0.0,0.0,0.0,0.0,
3do,1987.0,0.0,0.0,0.0,0.0,
3do,1988.0,0.0,0.0,0.0,0.0,
3do,1989.0,0.0,0.0,0.0,0.0,
3do,1990.0,0.0,0.0,0.0,0.0,
3do,1991.0,0.0,0.0,0.0,0.0,
3do,1992.0,0.0,0.0,0.0,0.0,
3do,1993.0,0.0,0.0,0.0,0.0,
3do,1994.0,0.0,0.0,20.0,0.0,
3do,1995.0,0.0,0.0,80.0,0.0,
3do,1996.0,0.0,0.0,0.0,0.0,
3do,1997.0,0.0,0.0,0.0,0.0,
3do,1998.0,0.0,0.0,0.0,0.0,
3do,1999.0,0.0,0.0,0.0,0.0,
3do,2000.0,0.0,0.0,0.0,0.0,
3do,2001.0,0.0,0.0,0.0,0.0,
3do,2002.0,0.0,0.0,0.0,0.0,
3do,2003.0,0.0,0.0,0.0,0.0,
3do,2004.0,0.0,0.0,0.0,0.0,
3do,2005.0,0.0,0.0,0.0,0.0,
3do,2006.0,0.0,0.0,0.0,0.0,
3do,2007.0,0.0,0.0,0.0,0.0,
3do,2008.0,0.0,0.0,0.0,0.0,
