platform,user_score,na_sales,eu_sales,jp_sales,other_sales,total_sales
3ds,2.4,100.0,350.0,0.0,30.0,480.0
3ds,2.8,0.0,30.0,0.0,0.0,30.0
3ds,3.0,150.0,150.0,0.0,30.0,330.0
3ds,3.3,300.0,370.0,30.0,70.0,770.0
3ds,3.4,160.0,100.0,0.0,20.0,280.0
3ds,3.6,180.0,100.0,0.0,30.0,310.0
3ds,3.7,60.0,200.0,0.0,30.0,290.0
3ds,3.8,70.0,70.0,0.0,10.0,150.0
3ds,3.9,130.0,220.0,160.0,30.0,540.0
3ds,4.0,70.0,20.0,0.0,10.0,100.0
3ds,4.2,140.0,30.0,0.0,20.0,190.0
3ds,4.25,30.0,0.0,0.0,0.0,30.0
3ds,4.27,0.0,0.0,190.0,0.0,190.0
3ds,4.3,40.0,30.0,0.0,10.0,80.0
3ds,4.34,0.0,220.0,0.0,10.0,230.0
3ds,4.4,270.0,160.0,20.0,40.0,490.0
3ds,4.5,0.0,0.0,560.0,0.0,560.0
3ds,4.6,380.0,200.0,0.0,50.0,630.0
3ds,4.8,1180.0,2360.0,2290.0,290.0,6120.0
3ds,4.9,370.0,240.0,0.0,60.0,670.0
3ds,5.0,220.0,70.0,0.0,30.0,320.0
3ds,5.1,20.0,10.0,10.0,0.0,40.0
3ds,5.2,830.0,710.0,300.0,130.0,1970.0
3ds,5.3,680.0,70.0,70.0,60.0,880.0
3ds,5.4,450.0,370.0,90.0,70.0,980.0
3ds,5.45,0.0,0.0,240.0,0.0,240.0
3ds,5.5,610.0,300.0,120.0,80.0,1110.0
3ds,5.6,1150.0,480.0,640.0,140.0,2410.0
3ds,5.7,50.0,90.0,0.0,20.0,160.0
3ds,5.8,30.0,0.0,0.0,0.0,30.0
3ds,5.9,180.0,130.0,50.0,30.0,390.0
3ds,6.0,950.0,330.0,40.0,130.0,1450.0
3ds,6.05,170.0,100.0,0.0,20.0,290.0
3ds,6.1,1340.0,1040.0,490.0,210.0,3080.0
3ds,6.15,240.0,140.0,0.0,30.0,410.0
3ds,6.2,1860.0,2190.0,1940.0,350.0,6340.0
3ds,6.3,1900.0,1240.0,1070.0,280.0,4490.0
3ds,6.35,110.0,0.0,0.0,10.0,120.0
3ds,6.4,670.0,660.0,210.0,120.0,1660.0
3ds,6.45,600.0,170.0,540.0,50.0,1360.0
3ds,6.5,1040.0,980.0,290.0,190.0,2500.0
3ds,6.57,100.0,120.0,0.0,20.0,240.0
3ds,6.6,450.0,490.0,160.0,100.0,1200.0
3ds,6.7,2460.0,2160.0,1490.0,440.0,6550.0
3ds,6.8,1120.0,1490.0,890.0,260.0,3760.0
3ds,6.83,50.0,20.0,100.0,10.0,180.0
3ds,6.85,530.0,30.0,90.0,40.0,690.0
3ds,6.9,1220.0,1880.0,3040.0,270.0,6410.0
3ds,6.95,60.0,210.0,2930.0,20.0,3220.0
3ds,7.0,1040.0,500.0,3350.0,140.0,5030.0
3ds,7.1,1250.0,1090.0,9180.0,220.0,11740.0
3ds,7.2,5010.0,3730.0,4490.0,810.0,14040.0
3ds,7.25,0.0,0.0,70.0,0.0,70.0
3ds,7.3,700.0,380.0,510.0,110.0,1700.0
3ds,7.35,4560.0,3520.0,10310.0,770.0,19160.0
3ds,7.4,1580.0,660.0,1030.0,210.0,3480.0
3ds,7.45,180.0,160.0,1340.0,30.0,1710.0
3ds,7.5,3980.0,1950.0,6350.0,580.0,12860.0
3ds,7.6,1840.0,890.0,1020.0,240.0,3990.0
3ds,7.63,3030.0,1450.0,3210.0,460.0,8150.0
3ds,7.65,6480.0,5390.0,13100.0,980.0,25950.0
3ds,7.7,760.0,290.0,440.0,100.0,1590.0
3ds,7.75,50.0,0.0,130.0,10.0,190.0
3ds,7.8,650.0,350.0,860.0,80.0,1940.0
3ds,7.9,400.0,580.0,490.0,80.0,1550.0
