name,platform,release_year
madden_nfl_2004,ps2,2003
fifa_soccer_2004,ps2,2003
lego_batman_the_videogame,wii,2008
wwe_smackdown_vs_raw_2006,ps2,2005
space_invaders,2600,1980
rock_band,x360,2007
frogger_s_adventures_temple_of_the_frog,gba,2001
lego_indiana_jones_the_original_adventures,wii,2008
call_of_duty_3,wii,2006
rock_band,wii,2011
call_of_duty_black_ops,pc,2010
rock_band,ps3,2011
triple_play_99,ps,1998
adventure,2600,1980
lego_batman_the_videogame,psp,2008
combat,2600,1977
lego_harry_potter_years_5_7,wii,2011
nascar_thunder_2003,ps2,2002
hitman_2_silent_assassin,xb,2004
rock_band,ps2,2008
legacy_of_kain_soul_reaver,ps,1999
donkey_kong_land_iii,gb,1997
air_sea_battle,2600,1977
suikoden_iii,ps2,2002
lego_harry_potter_years_5_7,x360,2011
wheel_of_fortune,ps2,unknown
yakuza_4,ps3,2010
lego_harry_potter_years_5_7,ps3,2011
namco_museum,xb,3999
rhythm_heaven,wii,2011
the_lord_of_the_rings_war_in_the_north,x360,2009
madden_nfl_07,psp,2006
mlb_slugfest_20_03,ps2,2002
the_lord_of_the_rings_war_in_the_north,ps3,2011
shaun_white_snowboarding,x360,2010
pes_2009_pro_evolution_soccer,psp,1995
warioware_twisted,gba,2004
madden_nfl_11,wii,2010
test_drive_unlimited_2,x360,2006
the_chronicles_of_narnia_the_lion_the_witch_and_the_wardrobe,gba,2005
lego_harry_potter_years_5_7,ds,2011
monster_hunter_2,ps2,2004
metal_gear_solid_2_substance,xb,1371
test_drive_unlimited_2,ps3,2011
advance_wars_days_of_ruin,ds,2008
the_golden_compass,wii,2007
madden_nfl_06,x360,2005
nascar_dirt_to_daytona,ps2,2002
madden_nfl_2002,xb,2001
def_jam_fight_for_ny,xb,2004
nba_street_vol_2,gc,2003
fishing_derby,2600,1980
wet,x360,2009
sonic_the_hedgehog,ps3,2006
karate,2600,1982
tiger_woods_pga_tour_07,wii,2006
circus_atari,2600,2019
the_chronicles_of_riddick_escape_from_butcher_bay,xb,2004
maze_craze_a_game_of_cops_n_robbers,2600,1980
silent_hill_homecoming,x360,2008
super_breakout,2600,7327
robert_ludlum_s_the_bourne_conspiracy,x360,2008
nhl_slapshot,wii,2010
tera,pc,2012
nfl_gameday_2003,ps2,2002
lego_harry_potter_years_5_7,3ds,2011
harvest_moon_save_the_homeland,ps2,2001
robert_ludlum_s_the_bourne_conspiracy,ps3,2008
silent_hill_homecoming,ps3,2008
hangman,2600,unknown
the_golden_compass,psp,2007
nba_live_2003,xb,2002
cubix_robots_for_everyone_clash_n_bash,gba,2001
dragon_ball_z_budokai_tenkaichi_2_jp_sales,wii,1993
tropico_4,x360,2011
tomb_raider_2013,pc,2013
bejeweled_3,ds,2010
custom_robo,n64,1999
final_fantasy_xi,ps2,2002
singularity,x360,2010
dragster,2600,1980
all_star_baseball_2005,ps2,2004
star_wars_jedi_knight_ii_jedi_outcast,xb,2022
slot_machine,2600,1979
the_dukes_of_hazzard_ii_daisy_dukes_it_out,ps,2000
harvest_moon_the_tale_of_two_towns,3ds,2010
nba_live_2003,gc,2002
shrek_the_third,ds,2007
nicktoons_battle_for_volcano_island,gc,2006
haven_call_of_the_king,ps2,2002
unreal_championship_2_the_liandri_conflict,xb,unknown
the_chronicles_of_narnia_the_lion_the_witch_and_the_wardrobe,gc,2005
pac_man_fever,gc,1981
the_legend_of_zelda_the_minish_cap_weekly_jp_sales,gba,2004
indy_500,2600,1977
disgaea_3_absence_of_detention,psv,unknown
flag_capture,2600,1978
gun,x360,1986
rock_revolution,ps3,2008
lego_harry_potter_years_5_7,psp,2010
college_hoops_2k6,ps2,2005
jonah_lomu_rugby_challenge,ps3,2011
mega_man_x_collection,ps2,2006
bioshock_2,pc,2010
singularity,ps3,2010
danganronpa_trigger_happy_havoc,psp,2021
jet_x20,ps2,2002
tony_hawk_s_downhill_jam,wii,2006
tribes_aerial_assault,ps2,2002
big_beach_sports_2,wii,2008
lego_harry_potter_years_5_7,pc,2011
yu_yu_hakusho_dark_tournament,ps2,1990
ghostbusters_ii,2600,1984
breakaway_iv,2600,1977
robotech_battlecry,xb,2002
move_fitness,ps3,2010
valkyria_chronicles_iii_unrecorded_chronicles,psp,2011
dancedancerevolution_ii,wii,2010
wrc_fia_world_rally_championship,ps3,2010
famista_64,n64,1157
dead_space_3,pc,2013
test_drive_unlimited_2,pc,2011
pet_zombies,3ds,2010
star_trek_legacy,x360,2021
backbreaker,x360,2010
twisted_metal_small_brawl,ps,2001
otomedius_excellent,x360,2011
nba_starting_five,ps2,2002
teen_titans,gba,2005
trauma_team,wii,2010
